t	x	y
6,820	-0,304	6,388E−2
6,840	-0,290	5,966E−2
6,860	-0,274	5,583E−2
6,880	-0,257	5,151E−2
6,900	-0,239	4,748E−2
6,920	-0,220	4,318E−2
6,940	-0,200	3,946E−2
6,960	-0,179	3,597E−2
6,980	-0,158	3,259E−2
7,000	-0,135	3,010E−2
7,020	-0,114	2,799E−2
7,040	−9,270E−2	2,643E−2
7,060	−7,121E−2	2,536E−2
7,080	−4,956E−2	2,439E−2
7,100	−2,757E−2	2,418E−2
7,120	−5,599E−3	2,435E−2
7,140	1,674E−2	2,525E−2
7,160	3,833E−2	2,635E−2
7,180	6,019E−2	2,780E−2
7,200	8,142E−2	2,988E−2
7,220	0,102	3,139E−2
7,240	0,122	3,454E−2
7,260	0,141	3,714E−2
7,280	0,159	3,964E−2
7,300	0,177	4,297E−2
7,320	0,193	4,638E−2
7,340	0,209	4,903E−2
7,360	0,223	5,237E−2
7,380	0,236	5,491E−2
7,400	0,247	5,816E−2
7,420	0,258	6,068E−2
7,440	0,267	6,304E−2
7,460	0,275	6,531E−2
7,480	0,281	6,672E−2
7,500	0,286	6,794E−2
7,520	0,290	6,900E−2
7,540	0,292	6,969E−2
7,560	0,292	6,971E−2
7,580	0,291	6,950E−2
7,600	0,289	6,873E−2
7,620	0,284	6,756E−2
7,640	0,279	6,602E−2
7,660	0,272	6,421E−2
7,680	0,264	6,182E−2
7,700	0,255	5,940E−2
7,720	0,244	5,651E−2
7,740	0,232	5,369E−2
7,760	0,218	5,028E−2
7,780	0,204	4,729E−2
7,800	0,188	4,418E−2
7,820	0,172	4,091E−2
7,840	0,154	3,799E−2
7,860	0,136	3,497E−2
7,880	0,117	3,233E−2
7,900	9,704E−2	2,997E−2
7,920	7,671E−2	2,784E−2
7,940	5,593E−2	2,630E−2
7,960	3,481E−2	2,514E−2
7,980	1,357E−2	2,405E−2
8,000	−7,728E−3	2,317E−2
8,020	−2,789E−2	2,318E−2
8,040	−4,558E−2	2,418E−2
8,060	−6,319E−2	2,532E−2
8,080	−8,063E−2	2,652E−2
8,100	−9,802E−2	2,786E−2
8,120	-0,115	3,002E−2
8,140	-0,131	3,223E−2
8,160	-0,147	3,453E−2
8,180	-0,163	3,692E−2
8,200	-0,177	3,938E−2
8,220	-0,191	4,176E−2
8,240	-0,204	4,420E−2
8,260	-0,217	4,652E−2
8,280	-0,228	4,896E−2
8,300	-0,238	5,127E−2
8,320	-0,247	5,358E−2
8,340	-0,256	5,580E−2
8,360	-0,263	5,725E−2
8,380	-0,269	5,925E−2
8,400	-0,273	6,048E−2
8,420	-0,277	6,162E−2
8,440	-0,280	6,197E−2
8,460	-0,281	6,264E−2
8,480	-0,281	6,278E−2
8,500	-0,281	6,267E−2
8,520	-0,278	6,212E−2
8,540	-0,275	6,141E−2
